id,service_type_id/id,reference,sequence,name,employee_role_id,lead_time,time_allocation,stage_id/id,activity_type_id
I2.2,crm_attooh.section14,I2.2,74,"If correct - ""thank you"" mail to client",New Business Clerk,0.25,0.17,crm_attooh.stage_compliance,To Do
I2.3,crm_attooh.section14,I2.3,75,Reminder on replacement (if applicable),Servicing Clerk,0.25,0.17,crm_attooh.stage_compliance,To Do
I2.4,crm_attooh.section14,I2.4,76,If replacement - Submit cancellation instruction,Servicing Clerk,0.25,0.17,crm_attooh.stage_compliance,To Do
I2.5,crm_attooh.section14,I2.5,77,When cancelled - Confirm cancellation to client,Servicing Clerk,0.25,0.17,crm_attooh.stage_compliance,To Do
I2.6,crm_attooh.section14,I2.6,78,Compliance upload and mail to client,New Business Clerk,0.25,0.5,crm_attooh.stage_compliance,To Do
W1.1,crm_attooh.wills,W1.1,79,Collect relevant information from client,New Business Clerk,48,0,crm_attooh.stage_first_engagement,To Do
W2.1a,crm_attooh.wills,W2.1a,80,Refer complex will to associate company for processing,New Business Clerk,24,0,crm_attooh.stage_proposal,To Do
W2.2a,crm_attooh.wills,W2.2a,81,Send Will Specialist invoice to client for payment,New Business Clerk,48,0,crm_attooh.stage_proposal,To Do
W2.3a,crm_attooh.wills,W2.3a,82,Send confirmation of payment to Will Specialist,New Business Clerk,24,0,crm_attooh.stage_proposal,To Do
W2.1b,crm_attooh.wills,W2.1b,83,Generates simple will from template,Financial Advisor,48,0,crm_attooh.stage_proposal,To Do
W3.1,crm_attooh.wills,W3.1,84,"Will document to client for perusal, approval or alteration",Client,48,0,crm_attooh.stage_second_engagement,To Do
W3.2,crm_attooh.wills,W3.2,85,"Client signs off two hard copies of the will, retains one",Client,48,0,crm_attooh.stage_second_engagement,To Do
W4.1,crm_attooh.wills,W4.1,86,Scan and save copy of the will to client file,New Business Clerk,24,0,crm_attooh.stage_compliance,To Do
W4.2,crm_attooh.wills,W4.2,87,Process original for safekeeping,New Business Clerk,24,0,crm_attooh.stage_compliance,To Do
B1.1,crm_attooh.business_planning,B1.1,88,Quality check vendor app,Client,24,0.5,crm_attooh.stage_second_engagement,To Do
B1.2,crm_attooh.business_planning,B1.2,89,Note for replacement (yes/no),Client,120,0.17,crm_attooh.stage_second_engagement,To Do
B1.3,crm_attooh.business_planning,B1.3,90,Collect documentation from client/ self upload on sytem,New Business Clerk,240,0.17,crm_attooh.stage_second_engagement,To Do
B1.4,crm_attooh.business_planning,B1.4,91,Submit documents and app to product vendor,New Business Clerk,8,0.17,crm_attooh.stage_second_engagement,To Do
B1.5,crm_attooh.business_planning,B1.5,92,"Email ""next steps"" email to client",New Business Clerk,1,0.25,crm_attooh.stage_second_engagement,To Do
B1.6,crm_attooh.business_planning,B1.6,93,Update production book,New Business Clerk,1,0.33,crm_attooh.stage_second_engagement,To Do
B1.7,crm_attooh.business_planning,B1.7,94,"Check, capture and action medical requirements",New Business Clerk,48,0.33,crm_attooh.stage_second_engagement,To Do
B1.8,crm_attooh.business_planning,B1.8,95,Insert date and time of medical appointment,New Business Clerk,24,0.17,crm_attooh.stage_second_engagement,To Do
B1.9,crm_attooh.business_planning,B1.9,96,SMS medical app reminder to client,New Business Clerk,0.1,0,crm_attooh.stage_second_engagement,To Do
B1.10,crm_attooh.business_planning,B1.10,97,Additional requirements (yes/no),New Business Clerk,72,0.33,crm_attooh.stage_second_engagement,To Do
B1.11,crm_attooh.business_planning,B1.11,98,"*Outcome: Accepted, COL, defer or decline?",,,0,crm_attooh.stage_second_engagement,To Do
B2.1,crm_attooh.business_planning,B2.1,99,"Confirm documents, terms, cover and update production book",New Business Clerk,0.15,0.75,crm_attooh.stage_compliance,To Do
B2.2,crm_attooh.business_planning,B2.2,100,"If correct - ""thank you"" mail to client",New Business Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
B2.3,crm_attooh.business_planning,B2.3,101,Set up meeting to get contracts signed,Diary Clerk,24,0.25,crm_attooh.stage_compliance,To Do
B2.4,crm_attooh.business_planning,B2.4,102,"Draft, email to client and print for appointment with Client",Paraplanner,1,0.02,crm_attooh.stage_compliance,To Do
B2.5,crm_attooh.business_planning,B2.5,103,Reminder on replacement (if applicable),New Business Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
B2.6,crm_attooh.business_planning,B2.6,104,If replacement - Submit cancellation instruction,Servicing Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
B2.7,crm_attooh.business_planning,B2.7,105,When cancelled - Confirm cancellation to client,Servicing Clerk,0.15,0.17,crm_attooh.stage_compliance,To Do
B2.8,crm_attooh.business_planning,B2.8,106,Compliance upload and mail to client,New Business Clerk,0.15,0.5,crm_attooh.stage_compliance,To Do
S1.1,crm_attooh.short_term,S1.1,107,Client requests cover,Client,24,0,crm_attooh.stage_first_engagement,To Do
S1.2,crm_attooh.short_term,S1.2,108,Client provides current cover schedule,Client,24,0,crm_attooh.stage_first_engagement,To Do
S2.1,crm_attooh.short_term,S2.1,109,Prepare quotes/ alternative quotes,Paraplanner,48,0,crm_attooh.stage_proposal,To Do
S2.2,crm_attooh.short_term,S2.2,110,Propose add-ons,Paraplanner,,0,crm_attooh.stage_proposal,To Do
S3.1,crm_attooh.short_term,S3.1,111,Present proposal and quotes to client,Financial Advisor,24,0,crm_attooh.stage_second_engagement,To Do
S3.2,crm_attooh.short_term,S3.2,112,Fill in vendor app,Client,24,0,crm_attooh.stage_second_engagement,To Do
S3.3,crm_attooh.short_term,S3.3,113,Collect documentation from client/ self upload on sytem,New Business Clerk,48,0,crm_attooh.stage_second_engagement,To Do
S4.1,crm_attooh.short_term,S4.1,114,Submit documents and app to product vendor,New Business Clerk,24,0,crm_attooh.stage_submission,To Do
S4.2,crm_attooh.short_term,S4.2,115,Manage COL,New Business Clerk,24,0,crm_attooh.stage_submission,To Do
S4.3,crm_attooh.short_term,S4.3,116,Manage NTU,New Business Clerk,24,0,crm_attooh.stage_submission,To Do
S4.4,crm_attooh.short_term,S4.4,117,Receive confirmation from product vendor,New Business Clerk,48,0,crm_attooh.stage_submission,To Do
S5.1,crm_attooh.short_term,S5.1,118,Send confirmation client,New Business Clerk,24,0,crm_attooh.stage_compliance,To Do
S5.2,crm_attooh.short_term,S5.2,119,Provide access to compliance auditor,New Business Clerk,,0,crm_attooh.stage_compliance,To Do
H1.1,crm_attooh.health,H1.1,120,Client acceptance of proposal,Financial Advisor,24,0,crm_attooh.stage_second_engagement,To Do
H1.2,crm_attooh.health,H1.2,121,Fill product vendor apps Incl Vitality,Client,48,0,crm_attooh.stage_second_engagement,To Do
H1.3,crm_attooh.health,H1.3,122,Collect documentation from client/ self upload on sytem,New Business Clerk,48,0,crm_attooh.stage_second_engagement,To Do
H1.4,crm_attooh.health,H1.4,123,Scan to file,New Business Clerk,24,0,crm_attooh.stage_second_engagement,To Do
H2.1,crm_attooh.health,H2.1,124,Submit documents and app to product vendor,New Business Clerk,24,0,crm_attooh.stage_submission,To Do
H2.2,crm_attooh.health,H2.2,125,Manage COL,New Business Clerk,24,0,crm_attooh.stage_submission,To Do
H2.3,crm_attooh.health,H2.3,126,Manage NTU,New Business Clerk,24,0,crm_attooh.stage_submission,To Do
H2.4,crm_attooh.health,H2.4,127,Receive confirmation from product vendor,New Business Clerk,72,0,crm_attooh.stage_submission,To Do
H3.1,crm_attooh.health,H3.1,128,Complete RoA,Financial Advisor,24,0,crm_attooh.stage_submission,To Do
H3.2,crm_attooh.health,H3.2,129,Send confirmation to client,New Business Clerk,24,0,crm_attooh.stage_submission,To Do
H3.3,crm_attooh.health,H3.3,130,Provide access to compliance auditor,New Business Clerk,,0,crm_attooh.stage_submission,To Do
T1.1,crm_attooh.trusts,T1.1,131,Fill trust specialist application,Client,24,0,crm_attooh.stage_second_engagement,To Do
T1.2,crm_attooh.trusts,T1.2,132,Collect documentation from client,New Business Clerk,96,0,crm_attooh.stage_second_engagement,To Do
T1.3,crm_attooh.trusts,T1.3,133,Scan to file,New Business Clerk,24,0,crm_attooh.stage_second_engagement,To Do
T2.1,crm_attooh.trusts,T2.1,134,Submit documents and app to trust specialist,New Business Clerk,24,0,crm_attooh.stage_submission,To Do
T2.2,crm_attooh.trusts,T2.2,135,Trust specialist invoice provided to client,New Business Clerk,48,0,crm_attooh.stage_submission,To Do
T2.3,crm_attooh.trusts,T2.3,136,Receive payment confirmation,New Business Clerk,48,0,crm_attooh.stage_submission,To Do
T2.4,crm_attooh.trusts,T2.4,137,Receive prepared documents from trust specialist,New Business Clerk,36,0,crm_attooh.stage_submission,To Do
T2.5,crm_attooh.trusts,T2.5,138,Client to sign two hard copies and return to trust specialist,Client,48,0,crm_attooh.stage_submission,To Do
T2.6,crm_attooh.trusts,T2.6,139,Trust documents submitted to Master of the Court,Trust Specialist,48,0,crm_attooh.stage_submission,To Do
T3.1,crm_attooh.trusts,T3.1,140,Send confirmation to client when trust is registered,New Business Clerk,96,0,crm_attooh.stage_compliance,To Do
T3.2,crm_attooh.trusts,T3.2,141,Save scanned stamped trust deed to file,New Business Clerk,24,0,crm_attooh.stage_compliance,To Do
T3.3,crm_attooh.trusts,T3.3,142,Send originally stamped trust deed to client,New Business Clerk,,0,crm_attooh.stage_compliance,To Do
G1.1,crm_attooh.gpoa,G1.1,143,Complete first and second agent information,Client,24,0,crm_attooh.stage_first_engagement,To Do
G2.1,crm_attooh.gpoa,G2.1,144,Generate GPOA from template,Financial Advisor,24,0,crm_attooh.stage_proposal,To Do
G3.1,crm_attooh.gpoa,G3.1,145,"GPOA document provided to client for perusal, approval or alteration",New Business Clerk,24,0,crm_attooh.stage_second_engagement,To Do
G3.2,crm_attooh.gpoa,G3.2,146,Client signs off one copy of the GPOA,Client,24,0,crm_attooh.stage_second_engagement,To Do
G4.1,crm_attooh.gpoa,G4.1,147,Scan and save copy of the GPOA to client file,New Business Clerk,,,crm_attooh.stage_compliance,To Do
